,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
1727,Feb,2,Tuesday,VW,Urban,Wednesday,Feb,2,Male,Single,51,Third Party,Sedan - Liability,Sport,40000 to 59000,0,1728,1,400,3,more than 30,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,1994,Liability
1728,Feb,1,Monday,Pontiac,Urban,Wednesday,Feb,3,Male,Married,51,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,1729,15,400,2,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1729,Feb,1,Monday,Toyota,Urban,Wednesday,Feb,2,Female,Married,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1730,11,400,4,more than 30,more than 30,more than 4,6 years,No,No,External,more than 5,1 year,1 vehicle,1994,Liability
1730,Feb,1,Monday,Pontiac,Urban,Tuesday,Feb,2,Female,Married,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1731,11,400,3,more than 30,more than 30,1,7 years,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
1731,Feb,1,Monday,Honda,Urban,Wednesday,Feb,3,Female,Married,41,Policy Holder,Sport - Collision,Sport,more than 69000,0,1732,16,400,4,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1994,Collision
1732,Mar,1,Friday,Honda,Urban,Wednesday,Mar,2,Male,Married,54,Third Party,Sport - Collision,Sport,more than 69000,0,1733,7,400,3,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1994,Collision
1733,Feb,1,Wednesday,Accura,Urban,Thursday,Feb,3,Male,Married,45,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1734,14,400,2,more than 30,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
1734,Feb,1,Wednesday,Toyota,Urban,Tuesday,Feb,2,Male,Married,49,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1735,4,500,2,more than 30,more than 30,more than 4,more than 7,No,No,External,more than 5,2 to 3 years,1 vehicle,1994,Liability
1735,Jan,5,Tuesday,Mazda,Urban,Thursday,Feb,3,Male,Married,55,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1736,13,400,1,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1994,Liability
1737,Mar,1,Saturday,Toyota,Urban,Tuesday,Mar,2,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,1738,4,400,4,more than 30,more than 30,1,7 years,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
1738,Jan,5,Tuesday,Honda,Urban,Wednesday,Feb,1,Male,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1739,15,400,2,more than 30,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,1994,Liability
1739,Jan,4,Friday,Mazda,Urban,Tuesday,Feb,2,Female,Single,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1740,3,400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1740,Jan,5,Saturday,Toyota,Urban,Monday,Feb,1,Male,Married,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1741,6,400,1,more than 30,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,1994,Liability
1741,Jan,4,Thursday,Mazda,Urban,Friday,Jan,4,Female,Single,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1742,8,400,4,more than 30,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,1994,Collision
1742,Jan,4,Tuesday,Toyota,Urban,Wednesday,Feb,2,Female,Married,45,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1743,16,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
1743,Jan,4,Wednesday,Honda,Urban,Thursday,Jan,4,Male,Married,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1744,9,400,2,more than 30,more than 30,1,7 years,No,No,External,1 to 2,4 to 8 years,2 vehicles,1994,Collision
1744,Jan,4,Saturday,Pontiac,Urban,Tuesday,Jan,5,Male,Single,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1745,13,400,3,more than 30,more than 30,1,6 years,No,No,External,more than 5,no change,1 vehicle,1994,Liability
1745,Mar,1,Saturday,Honda,Urban,Wednesday,Mar,2,Female,Married,40,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1746,3,400,2,more than 30,more than 30,none,6 years,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
1746,Jan,4,Monday,Mazda,Urban,Thursday,Jan,4,Male,Single,18,Policy Holder,Sport - Collision,Sport,more than 69000,0,1747,6,400,1,more than 30,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,1994,Collision
1747,Jan,4,Saturday,Honda,Urban,Thursday,Jan,4,Male,Married,55,Policy Holder,Sport - Collision,Sport,more than 69000,0,1748,15,400,1,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1994,Collision
1748,Jan,4,Monday,Toyota,Urban,Wednesday,Jan,4,Male,Single,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1749,16,400,2,more than 30,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,1994,Liability
1749,Jan,3,Friday,Pontiac,Urban,Wednesday,Jan,4,Male,Married,48,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1750,4,400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,Liability
1750,Jan,3,Saturday,Ford,Urban,Monday,Jan,3,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,1751,14,400,3,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1994,Collision
1751,Jan,3,Saturday,Toyota,Urban,Tuesday,Jan,3,Male,Married,78,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1752,4,400,1,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
1752,Jan,3,Monday,Pontiac,Urban,Tuesday,Jan,3,Male,Married,42,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1753,11,400,1,more than 30,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,1994,Collision
1753,Mar,1,Saturday,Chevrolet,Urban,Tuesday,Mar,4,Male,Married,48,Third Party,Sedan - All Perils,Sedan,more than 69000,0,1754,13,400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
1754,Jan,1,Wednesday,Pontiac,Rural,Thursday,Jan,1,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1755,4,400,2,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1755,Jan,1,Tuesday,Ford,Urban,Wednesday,Jan,2,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,1756,6,400,2,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1994,Collision
1756,Jan,1,Thursday,VW,Urban,Monday,Jan,2,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,1757,10,400,3,more than 30,more than 30,more than 4,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1757,Dec,5,Thursday,Toyota,Urban,Monday,Jan,3,Male,Single,25,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1758,11,400,1,more than 30,more than 30,2 to 4,5 years,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
1758,Dec,5,Wednesday,Honda,Urban,Thursday,Jan,2,Male,Married,55,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1759,15,400,1,more than 30,more than 30,1,7 years,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
1759,Dec,2,Tuesday,Chevrolet,Urban,Tuesday,Dec,2,Female,Divorced,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1760,7,400,2,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1994,Collision
1760,Nov,1,Wednesday,Pontiac,Urban,Monday,Nov,2,Male,Single,51,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1761,8,400,4,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1761,Oct,4,Thursday,Toyota,Urban,Wednesday,Jan,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1762,4,400,1,more than 30,more than 30,more than 4,7 years,Yes,No,External,more than 5,no change,1 vehicle,1994,Liability
1762,Sep,4,Sunday,Pontiac,Urban,Tuesday,Sep,4,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1763,8,400,1,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1994,All Perils
1763,Sep,3,Sunday,Toyota,Urban,Wednesday,Sep,5,Male,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1764,5,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,3 to 4,1994,Liability
1764,Sep,2,Monday,Pontiac,Urban,Monday,Sep,2,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1765,14,400,4,more than 30,more than 30,none,7 years,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision
1766,Aug,3,Saturday,Pontiac,Urban,Tuesday,Aug,4,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1767,7,400,3,more than 30,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1767,Aug,3,Saturday,Mercury,Rural,Monday,Aug,5,Male,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1768,7,400,4,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1994,Liability
1768,Aug,1,Saturday,VW,Urban,Wednesday,Aug,2,Female,Single,40,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,1769,8,400,2,more than 30,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,1994,All Perils
1769,Aug,1,Tuesday,Pontiac,Rural,Tuesday,Aug,1,Female,Single,29,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1770,15,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1994,All Perils
1770,Jul,4,Friday,Pontiac,Urban,Friday,Jul,4,Male,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1771,14,400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1994,Liability
1771,Jul,1,Saturday,Pontiac,Urban,Wednesday,Jul,2,Male,Single,36,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1772,5,400,2,more than 30,more than 30,more than 4,7 years,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
1772,Jul,1,Friday,Honda,Rural,Tuesday,Jul,1,Male,Married,36,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1773,14,400,1,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,1994,All Perils
1773,Jun,4,Monday,Accura,Urban,Tuesday,Jul,2,Male,Married,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1774,14,400,3,more than 30,more than 30,none,7 years,No,No,Internal,3 to 5,no change,1 vehicle,1994,Liability
1774,Jun,1,Friday,Toyota,Urban,Tuesday,Jun,2,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1775,14,400,3,more than 30,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
1775,May,4,Tuesday,Dodge,Urban,Wednesday,May,4,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1776,15,400,3,more than 30,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1776,May,2,Friday,Chevrolet,Urban,Monday,May,3,Male,Married,35,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,1777,16,400,4,more than 30,more than 30,none,7 years,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
1777,Mar,1,Sunday,Mazda,Urban,Monday,Mar,2,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,1778,3,400,4,more than 30,more than 30,more than 4,6 years,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
1778,May,1,Monday,VW,Rural,Tuesday,May,1,Male,Single,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1779,12,400,4,more than 30,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1779,Apr,3,Monday,Mazda,Urban,Thursday,Apr,4,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1780,10,400,2,more than 30,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1780,Mar,1,Sunday,Mazda,Rural,Monday,Mar,2,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,more than 69000,1,1781,4,400,4,more than 30,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,1994,Collision
1781,Jan,3,Wednesday,Toyota,Urban,Wednesday,Jan,3,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1782,13,400,4,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1994,Collision
1782,Jan,3,Tuesday,Toyota,Urban,Wednesday,Jan,3,Male,Married,47,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1783,16,400,4,more than 30,more than 30,more than 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
1783,Jan,3,Wednesday,Mazda,Urban,Friday,Jan,5,Male,Married,50,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,1784,10,400,3,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,Liability
1784,Jan,3,Monday,Chevrolet,Urban,Wednesday,Jan,3,Male,Married,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1785,6,400,3,more than 30,more than 30,more than 4,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
1785,Jan,3,Monday,Pontiac,Urban,Thursday,Jan,3,Male,Married,63,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1786,13,500,4,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,2 to 3 years,2 vehicles,1994,All Perils
1786,Jan,3,Sunday,Chevrolet,Urban,Tuesday,Jan,3,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1787,2,400,3,more than 30,more than 30,none,5 years,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1787,Jan,3,Monday,Pontiac,Rural,Wednesday,Jan,3,Male,Married,40,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1788,5,400,2,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1788,Nov,4,Saturday,Honda,Urban,Thursday,Feb,1,Male,Single,17,Policy Holder,Sport - Collision,Sport,more than 69000,0,1789,10,400,3,more than 30,more than 30,2 to 4,2 years,No,No,External,none,no change,1 vehicle,1994,Collision
1789,Mar,1,Sunday,Toyota,Urban,Tuesday,Mar,2,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,1790,14,400,4,more than 30,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
1790,Nov,4,Sunday,Pontiac,Urban,Wednesday,Jan,1,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1791,14,400,4,more than 30,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
1792,Nov,2,Friday,Pontiac,Rural,Wednesday,Jan,2,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1793,9,400,4,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1994,All Perils
1793,Aug,2,Friday,Pontiac,Urban,Tuesday,Jan,4,Male,Married,55,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1794,11,400,2,more than 30,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,1994,Liability
1794,Feb,3,Friday,Ford,Urban,Thursday,Mar,1,Male,Married,67,Policy Holder,Utility - All Perils,Utility,more than 69000,0,1795,11,400,3,more than 30,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
1795,Feb,2,Tuesday,Pontiac,Rural,Wednesday,Feb,2,Male,Single,29,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1796,3,400,2,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
1796,Feb,2,Tuesday,VW,Urban,Wednesday,Feb,2,Female,Married,35,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1797,16,400,4,more than 30,more than 30,1,5 years,No,No,External,none,no change,1 vehicle,1994,Collision
1797,Mar,1,Saturday,Accura,Urban,Wednesday,Apr,1,Male,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1798,8,400,4,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1994,Liability
1798,Feb,3,Monday,Pontiac,Urban,Friday,Feb,3,Female,Widow,55,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1799,11,700,3,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1994,Collision
1799,Jan,5,Saturday,Mazda,Urban,Tuesday,Feb,1,Male,Married,36,Third Party,Sedan - All Perils,Sedan,less than 20000,0,1800,2,400,3,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
1801,Feb,2,Friday,Pontiac,Urban,Tuesday,Apr,4,Male,Single,26,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,1802,10,400,2,more than 30,more than 30,1,6 years,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
1802,May,5,Sunday,Chevrolet,Rural,Tuesday,May,5,Female,Single,37,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1803,7,400,1,more than 30,more than 30,more than 4,7 years,No,No,External,none,no change,1 vehicle,1994,Collision
1803,May,2,Sunday,Pontiac,Urban,Tuesday,May,2,Male,Single,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1804,8,400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,none,no change,1 vehicle,1994,All Perils
1804,Oct,5,Monday,Pontiac,Urban,Monday,Oct,5,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1805,5,400,2,more than 30,more than 30,none,more than 7,No,No,External,none,no change,3 to 4,1994,Collision
1805,Mar,4,Monday,Pontiac,Urban,Tuesday,Mar,4,Male,Married,66,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,1806,6,400,4,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1994,All Perils
1806,May,4,Wednesday,Pontiac,Urban,Thursday,May,4,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1807,1,400,3,more than 30,more than 30,none,6 years,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,Collision
1807,May,3,Monday,Mazda,Urban,Monday,May,3,Female,Single,32,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1808,16,400,3,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1994,Liability
1808,May,2,Wednesday,Honda,Urban,Tuesday,May,3,Female,Single,26,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1809,6,400,2,more than 30,more than 30,none,6 years,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
1809,Jun,3,Saturday,Pontiac,Urban,Tuesday,Jul,1,Male,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1810,1,400,3,more than 30,more than 30,2 to 4,6 years,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
1810,Jun,3,Tuesday,Toyota,Urban,Wednesday,Jun,3,Male,Married,27,Policy Holder,Sedan - Liability,Sport,more than 69000,0,1811,7,400,4,more than 30,more than 30,more than 4,6 years,No,No,External,none,no change,1 vehicle,1994,Liability
1811,Mar,1,Sunday,Honda,Urban,Wednesday,Mar,3,Male,Single,19,Policy Holder,Sport - Collision,Sport,more than 69000,1,1812,8,400,1,more than 30,more than 30,none,3 years,No,No,External,none,no change,1 vehicle,1994,Collision
1812,Aug,3,Tuesday,Pontiac,Urban,Tuesday,Aug,3,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,1813,9,400,4,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
1813,Sep,4,Thursday,Chevrolet,Urban,Monday,Sep,4,Male,Married,32,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1814,7,400,1,more than 30,more than 30,more than 4,6 years,No,No,External,none,no change,1 vehicle,1994,Liability
1814,Sep,1,Tuesday,Chevrolet,Urban,Wednesday,Sep,3,Male,Married,33,Third Party,Sedan - All Perils,Sedan,more than 69000,0,1815,1,400,1,more than 30,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
1815,Mar,2,Monday,Toyota,Urban,Tuesday,Mar,3,Male,Married,35,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,1816,9,400,1,more than 30,more than 30,2 to 4,6 years,No,Yes,External,1 to 2,no change,1 vehicle,1994,Collision
1816,Jan,2,Thursday,Accura,Urban,Thursday,Jan,3,Female,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1817,9,400,3,more than 30,more than 30,2 to 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1817,Jan,2,Friday,Pontiac,Urban,Monday,Jan,3,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,1818,1,400,4,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1818,Jan,2,Wednesday,VW,Urban,Friday,Jan,3,Male,Married,41,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,1819,16,400,1,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,1994,Collision
1819,Mar,3,Saturday,Mazda,Rural,Tuesday,Apr,2,Male,Married,33,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1820,16,400,1,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1994,All Perils
1820,Apr,2,Saturday,Pontiac,Urban,Tuesday,Apr,2,Female,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1821,16,400,3,more than 30,more than 30,none,6 years,No,No,External,3 to 5,1 year,1 vehicle,1994,Collision
1821,Apr,2,Sunday,Pontiac,Urban,Monday,Apr,2,Female,Widow,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1822,10,400,4,more than 30,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,1994,Collision
1822,Apr,5,Saturday,Mazda,Urban,Tuesday,May,1,Male,Married,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1823,4,400,3,more than 30,more than 30,more than 4,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
1823,May,3,Wednesday,Chevrolet,Rural,Tuesday,Sep,1,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1824,5,400,4,more than 30,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,1994,Collision
1824,May,2,Saturday,Mazda,Urban,Monday,May,5,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1825,15,400,1,more than 30,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
1825,Jun,5,Thursday,Honda,Urban,Thursday,Jul,1,Male,Single,24,Policy Holder,Sport - Collision,Sport,more than 69000,0,1826,6,400,1,more than 30,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,1994,Collision
1826,Sep,2,Tuesday,Chevrolet,Urban,Tuesday,Sep,4,Female,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1827,8,400,1,more than 30,more than 30,1,6 years,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
1827,Sep,2,Thursday,Toyota,Urban,Tuesday,Oct,4,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1828,13,400,2,more than 30,more than 30,none,7 years,No,No,External,none,4 to 8 years,2 vehicles,1994,Collision
1828,Oct,5,Saturday,Chevrolet,Urban,Monday,Oct,5,Male,Married,79,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1829,4,400,4,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,1994,Collision
1829,Oct,4,Tuesday,Chevrolet,Urban,Wednesday,Oct,4,Male,Single,49,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,1830,6,700,2,more than 30,more than 30,none,more than 7,Yes,No,External,more than 5,no change,1 vehicle,1994,Collision
1830,Dec,1,Sunday,Mazda,Urban,Tuesday,Dec,1,Female,Single,19,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1831,5,400,4,more than 30,more than 30,1,2 years,No,No,External,none,no change,1 vehicle,1994,Liability
1831,Nov,2,Friday,Mazda,Urban,Thursday,Nov,3,Male,Married,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,1832,6,400,2,more than 30,more than 30,more than 4,7 years,No,No,External,more than 5,no change,1 vehicle,1994,Liability
1832,Oct,4,Tuesday,Toyota,Urban,Thursday,Oct,4,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1833,5,400,1,more than 30,more than 30,1,6 years,No,No,External,none,no change,1 vehicle,1994,Collision
1833,Sep,2,Thursday,Pontiac,Urban,Friday,Sep,2,Male,Married,45,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1834,1,400,3,more than 30,more than 30,none,more than 7,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
1834,Jul,2,Tuesday,Pontiac,Urban,Monday,Jul,3,Female,Single,41,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,1835,16,400,3,more than 30,more than 30,none,7 years,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
1835,Jul,1,Wednesday,Toyota,Rural,Monday,Jul,5,Male,Single,48,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1836,12,400,3,more than 30,more than 30,1,more than 7,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
1836,Jun,4,Monday,Chevrolet,Urban,Monday,Jun,4,Male,Married,46,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,1837,1,500,2,more than 30,more than 30,2 to 4,7 years,No,No,External,none,2 to 3 years,1 vehicle,1994,Liability
1837,Jun,3,Monday,Honda,Urban,Monday,Jun,3,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1838,12,400,4,more than 30,more than 30,2 to 4,6 years,No,No,External,none,no change,1 vehicle,1994,Collision
1838,Jun,3,Tuesday,Toyota,Urban,Thursday,Jun,4,Male,Married,56,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,1839,6,400,2,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,1994,Collision
